indic_code,indic_source,indic_lib,indic_cat,icd10,service,add_def,population,age_min,age_max,sex,enceinte,autre,depistage_fait,depistage_resultat,accouchement_assist,accouchement_ptme_type,chirurgie_urgence,traitement_statut
HMIS15,PNLS Infections opportunistes,Cas d'IO traites chez les PVVIH (y compris la tuberculose),(M.- 25 à 49 ans),TBD,Traitement,No,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS16,PNLS Infections opportunistes,Cas d'IO traites chez les PVVIH (y compris la tuberculose),(M.- 50 ans et plus),TBD,Traitement,No,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS17,PNLS Infections opportunistes,PVVIH chez qui la recherche de BAAR a ete demandee et realisee,(F.- 0-14 ans),A15 + A17 + A18 + A19,Depistage,BAAR demande,0-14 ans- F- VIH+,0,Y14,F,NA,VIH+,VIH,NA,NA,NA,NA,NA
HMIS18,PNLS Infections opportunistes,PVVIH chez qui la recherche de BAAR a ete demandee et realisee,(F.- 15 à 24 ans),A15 + A17 + A18 + A19,Depistage,BAAR demande,15-24 ans- F- VIH+,Y15,Y24,F,NA,VIH+,VIH,NA,NA,NA,NA,NA
HMIS19,PNLS Infections opportunistes,PVVIH chez qui la recherche de BAAR a ete demandee et realisee,(F.- 25 à 49 ans),A15 + A17 + A18 + A19,Depistage,BAAR demande,25-49 ans- F- VIH+,Y25,Y49,F,NA,VIH+,VIH,NA,NA,NA,NA,NA
HMIS20,PNLS Infections opportunistes,PVVIH chez qui la recherche de BAAR a ete demandee et realisee,(F.- 50 ans et plus),A15 + A17 + A18 + A19,Depistage,BAAR demande,50-50 plus- F- VIH+,Y50,NA,F,NA,VIH+,VIH,NA,NA,NA,NA,NA
HMIS21,PNLS Infections opportunistes,PVVIH chez qui la recherche de BAAR a ete demandee et realisee,(M.- 0-14 ans),A15 + A17 + A18 + A19,Depistage,BAAR demande,0-14 ans- M- VIH+,0,Y14,M,NA,VIH+,VIH,NA,NA,NA,NA,NA
HMIS22,PNLS Infections opportunistes,PVVIH chez qui la recherche de BAAR a ete demandee et realisee,(M.- 15 à 24 ans),A15 + A17 + A18 + A19,Depistage,BAAR demande,15-24 ans- M- VIH+,Y15,Y24,M,NA,VIH+,VIH,NA,NA,NA,NA,NA
HMIS23,PNLS Infections opportunistes,PVVIH chez qui la recherche de BAAR a ete demandee et realisee,(M.- 25 à 49 ans),A15 + A17 + A18 + A19,Depistage,BAAR demande,25-49 ans- M- VIH+,Y25,Y49,M,NA,VIH+,VIH,NA,NA,NA,NA,NA
HMIS24,PNLS Infections opportunistes,PVVIH chez qui la recherche de BAAR a ete demandee et realisee,(M.- 50 ans et plus),A15 + A17 + A18 + A19,Depistage,BAAR demande,50-50 plus- M- VIH+,Y50,NA,M,NA,VIH+,VIH,NA,NA,NA,NA,NA
HMIS25,PNLS Infections opportunistes,PVVIH chez qui la tuberculose a ete diagnostiquee,(F.- 0-14 ans),A15 + A17 + A18 + A19,Depistage,NA,0-14 ans- F- VIH+,0,Y14,F,NA,VIH+,NA,TB,NA,NA,NA,NA
HMIS26,PNLS Infections opportunistes,PVVIH chez qui la tuberculose a ete diagnostiquee,(F.- 15 à 24 ans),A15 + A17 + A18 + A19,Depistage,NA,15-24 ans- F- VIH+,Y15,Y24,F,NA,VIH+,NA,TB,NA,NA,NA,NA
HMIS27,PNLS Infections opportunistes,PVVIH chez qui la tuberculose a ete diagnostiquee,(F.- 25 à 49 ans),A15 + A17 + A18 + A19,Depistage,NA,25-49 ans- F- VIH+,Y25,Y49,F,NA,VIH+,NA,TB,NA,NA,NA,NA
HMIS28,PNLS Infections opportunistes,PVVIH chez qui la tuberculose a ete diagnostiquee,(F.- 50 ans et plus),A15 + A17 + A18 + A19,Depistage,NA,50-50 plus- F- VIH+,Y50,NA,F,NA,VIH+,NA,TB,NA,NA,NA,NA
HMIS29,PNLS Infections opportunistes,PVVIH chez qui la tuberculose a ete diagnostiquee,(M.- 0-14 ans),A15 + A17 + A18 + A19,Depistage,NA,0-14 ans- M- VIH+,0,Y14,M,NA,VIH+,NA,TB,NA,NA,NA,NA
HMIS30,PNLS Infections opportunistes,PVVIH chez qui la tuberculose a ete diagnostiquee,(M.- 15 à 24 ans),A15 + A17 + A18 + A19,Depistage,NA,15-24 ans- M- VIH+,Y15,Y24,M,NA,VIH+,NA,TB,NA,NA,NA,NA
HMIS31,PNLS Infections opportunistes,PVVIH chez qui la tuberculose a ete diagnostiquee,(M.- 25 à 49 ans),A15 + A17 + A18 + A19,Depistage,NA,25-49 ans- M- VIH+,Y25,Y49,M,NA,VIH+,NA,TB,NA,NA,NA,NA
HMIS32,PNLS Infections opportunistes,PVVIH chez qui la tuberculose a ete diagnostiquee,(M.- 50 ans et plus),A15 + A17 + A18 + A19,Depistage,NA,50-50 plus- M- VIH+,Y50,NA,M,NA,VIH+,NA,TB,NA,NA,NA,NA
HMIS33,PNLS Infections opportunistes,PVVIH reçues suivies sans ARV et suivies avec ARV,(F.- 0-14 ans),B20,Consultation,Yes,0-14 ans- F- VIH+,0,Y14,F,NA,VIH+,NA,NA,NA,NA,NA,NA
HMIS34,PNLS Infections opportunistes,PVVIH reçues suivies sans ARV et suivies avec ARV,(F.- 15 à 24 ans),B20,Consultation,Yes,15-24 ans- F- VIH+,Y15,Y24,F,NA,VIH+,NA,NA,NA,NA,NA,NA
HMIS35,PNLS Infections opportunistes,PVVIH reçues suivies sans ARV et suivies avec ARV,(F.- 25 à 49 ans),B20,Consultation,Yes,25-49 ans- F- VIH+,Y25,Y49,F,NA,VIH+,NA,NA,NA,NA,NA,NA
HMIS36,PNLS Infections opportunistes,PVVIH reçues suivies sans ARV et suivies avec ARV,(F.- 50 ans et plus),B20,Consultation,Yes,50-50 plus- F- VIH+,Y50,NA,F,NA,VIH+,NA,NA,NA,NA,NA,NA
HMIS37,PNLS Infections opportunistes,PVVIH reçues suivies sans ARV et suivies avec ARV,(M.- 0-14 ans),B20,Consultation,Yes,0-14 ans- M- VIH+,0,Y14,M,NA,VIH+,NA,NA,NA,NA,NA,NA
HMIS38,PNLS Infections opportunistes,PVVIH reçues suivies sans ARV et suivies avec ARV,(M.- 15 à 24 ans),B20,Consultation,Yes,15-24 ans- M- VIH+,Y15,Y24,M,NA,VIH+,NA,NA,NA,NA,NA,NA
HMIS39,PNLS Infections opportunistes,PVVIH reçues suivies sans ARV et suivies avec ARV,(M.- 25 à 49 ans),B20,Consultation,Yes,25-49 ans- M- VIH+,Y25,Y49,M,NA,VIH+,NA,NA,NA,NA,NA,NA
HMIS40,PNLS Infections opportunistes,PVVIH reçues suivies sans ARV et suivies avec ARV,(M.- 50 ans et plus),B20,Consultation,Yes,50-50 plus- M- VIH+,Y50,NA,M,NA,VIH+,NA,NA,NA,NA,NA,NA
HMIS41,PNLS Infections opportunistes,Tuberculeux VIH+ nouvellement mis sous traitement prophylactique (CTM),(F.- 0-14 ans),A15 + A17 + A18 + A19,Traitement,Yes,0-14 ans- F- VIH+,0,Y14,F,NA,VIH+,NA,NA,NA,NA,NA,Nouveau
HMIS42,PNLS Infections opportunistes,Tuberculeux VIH+ nouvellement mis sous traitement prophylactique (CTM),(F.- 15 à 24 ans),A15 + A17 + A18 + A19,Traitement,Yes,15-24 ans- F- VIH+,Y15,Y24,F,NA,VIH+,NA,NA,NA,NA,NA,Nouveau
HMIS43,PNLS Infections opportunistes,Tuberculeux VIH+ nouvellement mis sous traitement prophylactique (CTM),(F.- 25 à 49 ans),A15 + A17 + A18 + A19,Traitement,Yes,25-49 ans- F- VIH+,Y25,Y49,F,NA,VIH+,NA,NA,NA,NA,NA,Nouveau
HMIS44,PNLS Infections opportunistes,Tuberculeux VIH+ nouvellement mis sous traitement prophylactique (CTM),(F.- 50 ans et plus),A15 + A17 + A18 + A19,Traitement,Yes,50-50 plus- F- VIH+,Y50,NA,F,NA,VIH+,NA,NA,NA,NA,NA,Nouveau
HMIS45,PNLS Infections opportunistes,Tuberculeux VIH+ nouvellement mis sous traitement prophylactique (CTM),(M.- 0-14 ans),A15 + A17 + A18 + A19,Traitement,Yes,0-14 ans- M- VIH+,0,Y14,M,NA,VIH+,NA,NA,NA,NA,NA,Nouveau
HMIS46,PNLS Infections opportunistes,Tuberculeux VIH+ nouvellement mis sous traitement prophylactique (CTM),(M.- 15 à 24 ans),A15 + A17 + A18 + A19,Traitement,Yes,15-24 ans- M- VIH+,Y15,Y24,M,NA,VIH+,NA,NA,NA,NA,NA,Nouveau
HMIS47,PNLS Infections opportunistes,Tuberculeux VIH+ nouvellement mis sous traitement prophylactique (CTM),(M.- 25 à 49 ans),A15 + A17 + A18 + A19,Traitement,Yes,25-49 ans- M- VIH+,Y25,Y49,M,NA,VIH+,NA,NA,NA,NA,NA,Nouveau
HMIS48,PNLS Infections opportunistes,Tuberculeux VIH+ nouvellement mis sous traitement prophylactique (CTM),(M.- 50 ans et plus),A15 + A17 + A18 + A19,Traitement,Yes,50-50 plus- M- VIH+,Y50,NA,M,NA,VIH+,NA,NA,NA,NA,NA,Nouveau
HMIS49,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV à la fin du mois,(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS50,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV à la fin du mois,(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS51,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV à la fin du mois,(F.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS52,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV à la fin du mois,(F.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS53,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV à la fin du mois,(M.- 0-14 ans),B20,Traitement,Yes,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS54,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV à la fin du mois,(M.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS55,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV à la fin du mois,(M.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS56,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV à la fin du mois,(M.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS57,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV au mois precedent,(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS58,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV au mois precedent,(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS59,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV au mois precedent,(F.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS60,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV au mois precedent,(F.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS61,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV au mois precedent,(M.- 0-14 ans),B20,Traitement,Yes,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS62,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV au mois precedent,(M.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS63,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV au mois precedent,(M.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS64,PNLS Prise en charge des PVVIH,File active des PVVIH sous ARV au mois precedent,(M.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,Suivi
HMIS65,PNLS Prise en charge des PVVIH,Nombre de deces  PVVIH sous ARV,(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,DCD
HMIS66,PNLS Prise en charge des PVVIH,Nombre de deces  PVVIH sous ARV,(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,DCD
HMIS67,PNLS Prise en charge des PVVIH,Nombre de deces  PVVIH sous ARV,(F.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,DCD
HMIS68,PNLS Prise en charge des PVVIH,Nombre de deces  PVVIH sous ARV,(F.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,DCD
HMIS69,PNLS Prise en charge des PVVIH,Nombre de deces  PVVIH sous ARV,(M.- 0-14 ans),B20,Traitement,Yes,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,DCD
HMIS70,PNLS Prise en charge des PVVIH,Nombre de deces  PVVIH sous ARV,(M.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,DCD
HMIS71,PNLS Prise en charge des PVVIH,Nombre de deces  PVVIH sous ARV,(M.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,DCD
HMIS72,PNLS Prise en charge des PVVIH,Nombre de deces  PVVIH sous ARV,(M.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,DCD
HMIS73,PNLS Prise en charge des PVVIH,Perdus de vue (Personnes sous ARV n’ayant pas ete retrouvees pendant 6 mois),(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,PDV
HMIS74,PNLS Prise en charge des PVVIH,Perdus de vue (Personnes sous ARV n’ayant pas ete retrouvees pendant 6 mois),(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,PDV
HMIS75,PNLS Prise en charge des PVVIH,Perdus de vue (Personnes sous ARV n’ayant pas ete retrouvees pendant 6 mois),(F.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,PDV
HMIS76,PNLS Prise en charge des PVVIH,Perdus de vue (Personnes sous ARV n’ayant pas ete retrouvees pendant 6 mois),(F.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,PDV
HMIS77,PNLS Prise en charge des PVVIH,Perdus de vue (Personnes sous ARV n’ayant pas ete retrouvees pendant 6 mois),(M.- 0-14 ans),B20,Traitement,Yes,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,PDV
HMIS78,PNLS Prise en charge des PVVIH,Perdus de vue (Personnes sous ARV n’ayant pas ete retrouvees pendant 6 mois),(M.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,PDV
HMIS79,PNLS Prise en charge des PVVIH,Perdus de vue (Personnes sous ARV n’ayant pas ete retrouvees pendant 6 mois),(M.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,PDV
HMIS80,PNLS Prise en charge des PVVIH,Perdus de vue (Personnes sous ARV n’ayant pas ete retrouvees pendant 6 mois),(M.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,PDV
HMIS81,PNLS Prise en charge des PVVIH,Personnes nouvellement mis  sous ARV,(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS82,PNLS Prise en charge des PVVIH,Personnes nouvellement mis  sous ARV,(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS83,PNLS Prise en charge des PVVIH,Personnes nouvellement mis  sous ARV,(F.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS84,PNLS Prise en charge des PVVIH,Personnes nouvellement mis  sous ARV,(F.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS85,PNLS Prise en charge des PVVIH,Personnes nouvellement mis  sous ARV,(M.- 0-14 ans),B20,Traitement,Yes,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS86,PNLS Prise en charge des PVVIH,Personnes nouvellement mis  sous ARV,(M.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS87,PNLS Prise en charge des PVVIH,Personnes nouvellement mis  sous ARV,(M.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS88,PNLS Prise en charge des PVVIH,Personnes nouvellement mis  sous ARV,(M.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS89,PNLS Prise en charge des PVVIH,PVVIH perdues de vue et revenues dans la file active du site,(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,Retour
HMIS90,PNLS Prise en charge des PVVIH,PVVIH perdues de vue et revenues dans la file active du site,(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,Retour
HMIS91,PNLS Prise en charge des PVVIH,PVVIH perdues de vue et revenues dans la file active du site,(F.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,Retour
HMIS92,PNLS Prise en charge des PVVIH,PVVIH perdues de vue et revenues dans la file active du site,(F.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,Retour
HMIS93,PNLS Prise en charge des PVVIH,PVVIH perdues de vue et revenues dans la file active du site,(M.- 0-14 ans),B20,Traitement,Yes,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,Retour
HMIS94,PNLS Prise en charge des PVVIH,PVVIH perdues de vue et revenues dans la file active du site,(M.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,Retour
HMIS95,PNLS Prise en charge des PVVIH,PVVIH perdues de vue et revenues dans la file active du site,(M.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,Retour
HMIS96,PNLS Prise en charge des PVVIH,PVVIH perdues de vue et revenues dans la file active du site,(M.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,Retour
HMIS97,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees d'un autre site,(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,Transfert In
HMIS98,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees d'un autre site,(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,Transfert In
HMIS99,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees d'un autre site,(F.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,Transfert In
HMIS100,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees d'un autre site,(F.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,Transfert In
HMIS101,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees d'un autre site,(M.- 0-14 ans),B20,Traitement,Yes,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,Transfert In
HMIS102,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees d'un autre site,(M.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,Transfert In
HMIS103,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees d'un autre site,(M.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,Transfert In
HMIS104,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees d'un autre site,(M.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,Transfert In
HMIS105,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees vers un autre site,(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,Transfert Out
HMIS106,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees vers un autre site,(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,Transfert Out
HMIS107,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees vers un autre site,(F.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- F,Y25,Y49,F,NA,NA,NA,NA,NA,NA,NA,Transfert Out
HMIS108,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees vers un autre site,(F.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- F,Y50,NA,F,NA,NA,NA,NA,NA,NA,NA,Transfert Out
HMIS109,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees vers un autre site,(M.- 0-14 ans),B20,Traitement,Yes,0-14 ans- M,0,Y14,M,NA,NA,NA,NA,NA,NA,NA,Transfert Out
HMIS110,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees vers un autre site,(M.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- M,Y15,Y24,M,NA,NA,NA,NA,NA,NA,NA,Transfert Out
HMIS111,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees vers un autre site,(M.- 25 à 49 ans),B20,Traitement,Yes,25-49 ans- M,Y25,Y49,M,NA,NA,NA,NA,NA,NA,NA,Transfert Out
HMIS112,PNLS Prise en charge des PVVIH,PVVIH sous ARV transferees vers un autre site,(M.- 50 ans et plus),B20,Traitement,Yes,50-50 plus- M,Y50,NA,M,NA,NA,NA,NA,NA,NA,NA,Transfert Out
HMIS113,PNLS Prise en charge des PVVIH,PVVIH sous traitement antiretroviral chez qui un traitement anti tuberculeux a ete initie,(F.- 0-14 ans),B20,Traitement,Yes,0-14 ans- F,0,Y14,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
HMIS114,PNLS Prise en charge des PVVIH,PVVIH sous traitement antiretroviral chez qui un traitement anti tuberculeux a ete initie,(F.- 15 à 24 ans),B20,Traitement,Yes,15-24 ans- F,Y15,Y24,F,NA,NA,NA,NA,NA,NA,NA,Nouveau
